,Acc_superm,Acc_postof,Acc_parks_,Acc_jobs_t,Acc_hospit
9450,11,3,20,22161,0
9451,1,0,4,1154,0
9452,31,5,21,64545,1
9453,9,6,20,22101,1
9454,22,5,37,46827,1
9455,12,1,8,18673,1
9456,1,4,2,106834,0
9457,5,4,11,23498,1
9458,0,0,3,13162,0
9459,1,0,10,2569,0
9460,14,1,21,10954,1
9461,31,4,49,47273,1
9462,12,3,15,17946,1
9463,4,0,4,20680,0
9464,4,0,4,1629,0
9465,11,3,20,14271,0
9466,13,4,27,22872,1
9467,21,5,38,51038,1
9468,2,1,5,26853,0
9469,0,0,0,1517,0
9470,15,6,17,36482,2
9471,6,1,9,6540,1
9472,24,5,18,60832,1
9473,13,3,14,24145,0
9474,24,4,40,36601,0
9475,8,2,17,11212,0
9476,36,8,56,56416,2
9477,8,2,12,29458,1
9478,0,0,4,1067,0
9479,2,0,12,2645,0
9480,6,0,4,32355,0
9481,15,7,26,53744,3
9482,2,1,3,2157,0
9483,17,3,11,30335,0
9484,13,3,40,139909,1
9485,7,1,13,7687,0
9486,0,0,0,8398,0
9487,16,3,9,43056,1
9488,3,0,9,2290,0
9489,14,1,16,8291,0
9490,4,1,7,82285,0
9491,0,0,5,475,0
9492,42,5,40,74886,1
9493,26,3,43,148615,1
9494,0,0,1,619,0
9495,15,1,17,16924,1
9496,1,0,2,9577,0
9497,18,6,23,55552,1
9498,16,2,20,13619,1
9499,21,7,31,70532,3
9500,4,1,4,2191,0
9501,81,10,80,228535,2
9502,21,4,30,18911,1
9503,17,3,18,14844,0
9504,10,3,14,20813,0
9505,2,0,4,1100,0
9506,9,2,5,21292,0
9507,58,7,43,200225,1
9508,4,0,4,4592,1
9509,3,0,13,5337,0
9510,0,0,2,5140,0
9511,24,8,52,111236,3
9512,10,3,37,15486,0
9513,2,0,4,42976,0
9514,20,5,23,29097,1
9515,16,3,23,19515,1
9516,8,1,8,16165,0
9517,4,0,7,2390,0
9518,24,4,38,36889,0
9519,16,3,9,23441,1
9520,21,4,8,27310,2
9521,36,5,22,33003,1
9522,6,1,6,9967,0
9523,1,0,10,2550,0
9524,0,0,2,325,0
9525,16,3,10,27758,2
9526,19,5,37,40854,1
9527,1,0,5,1792,0
9528,8,1,8,16417,0
9529,54,7,65,190817,2
9530,11,2,22,26110,0
9531,37,6,36,166188,1
9532,8,3,13,33168,1
9533,4,1,8,2766,0
9534,23,5,49,58568,1
9535,18,4,39,49177,1
9536,13,2,8,22060,1
9537,10,3,24,18728,0
9538,7,0,11,5477,0
9539,12,4,10,21292,0
9540,0,0,0,5691,0
9541,11,1,7,19501,0
9542,19,2,20,47154,1
9543,31,6,56,42215,1
9544,2,0,4,40535,0
9545,7,3,13,25726,1
9546,19,4,32,31560,1
9547,8,1,12,10153,0
9548,0,0,0,1450,0
9549,4,0,8,4923,0
9550,11,2,6,35898,0
9551,12,0,14,38468,0
9552,33,4,33,55993,1
9553,0,0,1,510,0
9554,41,7,24,99833,1
9555,11,1,15,14504,1
9556,8,3,29,56008,1
9557,8,2,17,11935,0
9558,23,4,13,35594,2
9559,14,4,22,30769,0
9560,29,4,23,41595,1
9561,26,2,31,26774,1
9562,28,5,56,52696,0
9563,14,3,40,78179,1
9564,13,4,19,27621,2
9565,0,0,1,159,0
9566,8,1,9,6798,0
9567,2,0,4,2511,0
9568,17,4,13,33384,0
9569,23,4,14,39268,2
9570,31,4,30,56304,1
9571,22,6,31,78845,3
9572,7,2,6,18814,0
9573,14,6,27,33949,1
9574,7,1,10,10770,0
9575,12,2,15,7313,0
9576,5,1,4,47074,0
9577,5,0,7,9170,0
9578,8,2,9,13186,0
9579,22,4,41,52059,1
9580,10,1,11,56178,1
9581,16,4,23,25423,1
9582,0,0,0,190,0
9583,16,4,24,28419,1
9584,11,3,11,19545,0
9585,8,2,16,13297,1
9586,12,3,26,22207,1
9587,6,2,12,6614,0
9588,74,10,78,219419,2
9589,7,1,7,4699,1
9590,33,5,54,183253,1
9591,6,0,7,10408,0
9592,14,4,27,21175,1
9593,61,7,52,194297,1
